plan;supply_date_start;supply_date_end;amount
monthly;2019-04-02;2019-05-02 00:00:00;12
monthly;2019-04-02;2019-05-02 00:00:00;12
yearly;2019-04-03;2020-04-03 00:00:00;119
monthly;2019-04-03;2019-05-03 00:00:00;12
monthly;2019-04-03;2019-05-03 00:00:00;12
yearly;2019-04-03;2020-04-03 00:00:00;119
monthly;2019-04-03;2019-05-03 00:00:00;12
monthly;2019-04-04;2019-05-04 00:00:00;12
yearly;2019-04-04;2020-04-04 00:00:00;119
monthly;2019-04-05;2019-05-05 00:00:00;12
yearly;2019-04-05;2020-04-05 00:00:00;119
yearly;2019-04-05;2020-04-05 00:00:00;119
yearly;2019-04-05;2020-04-05 00:00:00;119
monthly;2019-04-06;2019-05-06 00:00:00;12
yearly;2019-04-06;2020-04-06 00:00:00;119
monthly;2019-04-06;2019-05-06 00:00:00;12
monthly;2019-04-07;2019-05-07 00:00:00;12
yearly;2019-04-07;2020-04-07 00:00:00;119
yearly;2019-04-07;2020-04-07 00:00:00;119
yearly;2019-04-07;2020-04-07 00:00:00;119
yearly;2019-04-08;2020-04-08 00:00:00;119
monthly;2019-04-08;2019-05-08 00:00:00;12
yearly;2019-04-08;2020-04-08 00:00:00;119
monthly;2019-04-08;2019-05-08 00:00:00;12
monthly;2019-04-08;2019-05-08 00:00:00;12
monthly;2019-04-09;2019-05-09 00:00:00;12
monthly;2019-04-09;2019-05-09 00:00:00;12
monthly;2019-04-09;2019-05-09 00:00:00;12
yearly;2019-04-09;2020-04-09 00:00:00;119
yearly;2019-04-09;2020-04-09 00:00:00;119
monthly;2019-04-09;2019-05-09 00:00:00;12
monthly;2019-04-09;2019-05-09 00:00:00;12
monthly;2019-04-09;2019-05-09 00:00:00;12
monthly;2019-04-10;2019-05-10 00:00:00;12
yearly;2019-04-11;2020-04-11 00:00:00;119
yearly;2019-04-11;2020-04-11 00:00:00;119
yearly;2019-04-11;2020-04-11 00:00:00;119
monthly;2019-04-11;2019-05-11 00:00:00;12
monthly;2019-04-11;2019-05-11 00:00:00;12
monthly;2019-04-11;2019-05-11 00:00:00;12
monthly;2019-04-11;2019-05-11 00:00:00;12
monthly;2019-04-12;2019-05-12 00:00:00;12
yearly;2019-04-12;2020-04-12 00:00:00;119
monthly;2019-04-12;2019-05-12 00:00:00;12
yearly;2019-04-13;2020-04-13 00:00:00;119
monthly;2019-04-13;2019-05-13 00:00:00;12
monthly;2019-04-13;2019-05-13 00:00:00;12
monthly;2019-04-13;2019-05-13 00:00:00;12
monthly;2019-04-13;2019-05-13 00:00:00;12
yearly;2019-04-14;2020-04-14 00:00:00;119
yearly;2019-04-14;2020-04-14 00:00:00;119
monthly;2019-04-14;2019-05-14 00:00:00;12
monthly;2019-04-14;2019-05-14 00:00:00;12
yearly;2019-04-14;2020-04-14 00:00:00;119
monthly;2019-04-14;2019-05-14 00:00:00;12
monthly;2019-04-15;2019-05-15 00:00:00;12
monthly;2019-04-15;2019-05-15 00:00:00;12
monthly;2019-04-15;2019-05-15 00:00:00;12
monthly;2019-04-15;2019-05-15 00:00:00;12
monthly;2019-04-15;2019-05-15 00:00:00;12
monthly;2019-04-15;2019-05-15 00:00:00;12
yearly;2019-04-15;2020-04-15 00:00:00;119
monthly;2019-04-15;2019-05-15 00:00:00;12
monthly;2019-04-15;2019-05-15 00:00:00;12
yearly;2019-04-16;2020-04-16 00:00:00;119
monthly;2019-04-16;2019-05-16 00:00:00;12
monthly;2019-04-16;2019-05-16 00:00:00;12
monthly;2019-04-16;2019-05-16 00:00:00;12
monthly;2019-04-16;2019-05-16 00:00:00;12
monthly;2019-04-16;2019-05-16 00:00:00;12
yearly;2019-04-16;2020-04-16 00:00:00;119
yearly;2019-04-16;2020-04-16 00:00:00;119
yearly;2019-04-17;2020-04-17 00:00:00;119
yearly;2019-04-17;2020-04-17 00:00:00;119
monthly;2019-04-17;2019-05-17 00:00:00;12
yearly;2019-04-17;2020-04-17 00:00:00;119
monthly;2019-04-17;2019-05-17 00:00:00;12
yearly;2019-04-18;2020-04-18 00:00:00;119
